epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,231.339,0.32933,0.9568,1,0.11375,0.000543319,0.000543319,0.000543319
2,461.914,0.19139,0.9696,1,0.10917,0.00108811,0.00108811,0.00108811
3,691.565,0.19707,0.7792,1,0.70076,0.00162189,0.00162189,0.00162189
4,920.71,0.1261,0.976,1,0.05784,0.00161749,0.00161749,0.00161749
5,1149.19,0.09787,0.952,1,0.23106,0.00160099,0.00160099,0.00160099
6,1379.48,0.13176,0.9568,1,0.11343,0.00158448,0.00158448,0.00158448
7,1612.2,0.10021,0.9776,1,0.07456,0.00156798,0.00156798,0.00156798
8,1847.35,0.08425,0.9888,1,0.05175,0.00155148,0.00155148,0.00155148
9,2082.61,0.08826,0.9248,1,0.17374,0.00153497,0.00153497,0.00153497
10,2317.05,0.11243,0.9696,1,0.09441,0.00151847,0.00151847,0.00151847
1,234.792,0.32933,0.9568,1,0.11375,0.000543319,0.000543319,0.000543319
2,471.38,0.19139,0.9696,1,0.10917,0.00108811,0.00108811,0.00108811
3,702.614,0.19707,0.7792,1,0.70076,0.00162189,0.00162189,0.00162189
4,934.371,0.1261,0.976,1,0.05784,0.00161749,0.00161749,0.00161749
5,1167.98,0.09787,0.952,1,0.23106,0.00160099,0.00160099,0.00160099
6,1406.11,0.13176,0.9568,1,0.11343,0.00158448,0.00158448,0.00158448
7,1643.65,0.10021,0.9776,1,0.07456,0.00156798,0.00156798,0.00156798
8,1879.89,0.08425,0.9888,1,0.05175,0.00155148,0.00155148,0.00155148
9,2115.95,0.08826,0.9248,1,0.17374,0.00153497,0.00153497,0.00153497
10,2349.19,0.11243,0.9696,1,0.09441,0.00151847,0.00151847,0.00151847
11,2565.41,0.08689,0.9808,1,0.07446,0.00150197,0.00150197,0.00150197
12,2783.09,0.06925,0.9504,1,0.148,0.00148546,0.00148546,0.00148546
13,2999.77,0.08363,0.984,1,0.03917,0.00146896,0.00146896,0.00146896
14,3216.79,0.06595,0.9792,1,0.06141,0.00145246,0.00145246,0.00145246
15,3432.93,0.06551,0.9856,1,0.05211,0.00143595,0.00143595,0.00143595
16,3649.19,0.06079,0.9744,1,0.06443,0.00141945,0.00141945,0.00141945
17,3865.93,0.05275,0.9872,1,0.04374,0.00140295,0.00140295,0.00140295
18,4081.97,0.05737,0.976,1,0.04613,0.00138644,0.00138644,0.00138644
19,4297.99,0.08718,0.976,1,0.058,0.00136994,0.00136994,0.00136994
20,4515.31,0.07939,0.9856,1,0.03275,0.00135344,0.00135344,0.00135344
21,4732.04,0.13546,0.9376,1,0.21375,0.00133693,0.00133693,0.00133693
22,4947.74,0.05369,0.9872,1,0.0275,0.00132043,0.00132043,0.00132043
23,5164.95,0.05635,0.9904,1,0.02028,0.00130393,0.00130393,0.00130393
24,5382.16,0.03425,0.9872,1,0.03373,0.00128742,0.00128742,0.00128742
25,5601.38,0.03279,0.984,1,0.03731,0.00127092,0.00127092,0.00127092
26,5839.74,0.03844,0.9856,1,0.04809,0.00125442,0.00125442,0.00125442
27,6076.04,0.0349,0.9936,1,0.01828,0.00123791,0.00123791,0.00123791
28,6311.03,0.03596,0.984,1,0.04068,0.00122141,0.00122141,0.00122141
29,6546.06,0.02412,0.9904,1,0.02189,0.00120491,0.00120491,0.00120491
30,6776.33,0.02262,0.9904,1,0.03194,0.0011884,0.0011884,0.0011884
31,7007.04,0.01895,0.9888,1,0.02035,0.0011719,0.0011719,0.0011719
32,7239.76,0.01652,0.9856,1,0.06939,0.0011554,0.0011554,0.0011554
33,7473.5,0.02995,0.9872,1,0.04582,0.00113889,0.00113889,0.00113889
34,7709.59,0.05915,0.9936,1,0.0308,0.00112239,0.00112239,0.00112239
35,7944.3,0.04844,0.9904,1,0.02947,0.00110589,0.00110589,0.00110589
36,8183.79,0.04288,0.9888,1,0.02289,0.00108938,0.00108938,0.00108938
37,8419.09,0.02432,0.992,1,0.01796,0.00107288,0.00107288,0.00107288
38,8656.5,0.0192,0.9856,1,0.03245,0.00105638,0.00105638,0.00105638
39,8888.47,0.01365,0.992,1,0.02431,0.00103987,0.00103987,0.00103987
40,9120.41,0.02086,0.9904,1,0.02225,0.00102337,0.00102337,0.00102337
41,9351.04,0.03141,0.9904,1,0.03441,0.00100687,0.00100687,0.00100687
42,9584.08,0.03811,0.9952,1,0.02024,0.000990365,0.000990365,0.000990365
